bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,is_promoted,is_proven,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
null,Music,/explore/music,/projects/sidwille-snyers,2015-05-16T23:59:59-07:00,GBP,38,0.038,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vwshpnhm1b5vlbxnomwb.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-04-16T15:22:22-07:00,null,null,10,null,null,1228818,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,Sidwille Snyers  conveys love and love lost in an emotionally honest way through song.,"[""other""]",Sidwille Snyers
null,Music,/explore/music,/projects/this-could-be-beautiful-a-festival-in-swansea,2015-05-15T23:59:59-07:00,GBP,393,0.0786,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bdszzo5cl54ggzrollgi.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-04-15T03:06:31-07:00,null,null,6,null,null,1226530,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,This could be beautiful... with a bit of work (which is why we need you),"[""other""]",This Could Be Beautiful - A Festival in Swansea
null,Music,/explore/music,/projects/summer-band-camp-for-jj-s-kids-music-school,2015-06-15T23:59:59-07:00,USD,150,0.009433962,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/x3vym0bjjmczlwfk2u9e.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-04-16T10:43:31-07:00,null,null,10,null,null,1226883,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,"Help 35 students from Mobile, Alabama, attend band camp at Grambling State University!","[""other""]",Summer Band Camp for JJ's Kids Music School
null,Music,/explore/music,/projects/justice-for-marvin,2015-07-19T23:59:59-07:00,USD,1195,0.159333333,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rmknmdex3ojk0p2jrme7.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-06-19T10:35:51-07:00,null,null,null,null,null,1315077,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,"Justice [juhs-tis] ""Just behavior or treatment, the quality of being fair and reasonable""","[""other""]",Justice For Marvin
null,Music,/explore/music,/projects/usc-choristers-goes-to-china,2015-09-15T23:59:59-07:00,USD,225,0.01125,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ozibhqzvc4zoi5cqzpig.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-07-17T00:46:12-07:00,null,null,10,null,null,1335531,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,USC CHORISTERS IN CHINA,"[""other""]",USC CHORISTERS GOES TO CHINA
null,Music,/explore/music,/projects/almost-july-s-new-ep,2015-08-12T23:59:59-07:00,USD,180,0.032727273,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lhppopw2u5hocigbmoyq.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-06-13T14:33:54-07:00,null,null,5,null,null,1271698,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,A new EP for the fans we love!,"[""other""]",Almost July's New EP!
null,Music,/explore/music,/projects/jordan-hart-body-language-video-shoot,2015-08-22T23:59:59-07:00,CAD,205,0.0082,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vam3dvvdfsotov8ajovi.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-07-08T15:59:51-07:00,null,null,3,null,null,1345223,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,"Jordan Hart is producing his first full-length music video for ""Body Language"", his first single.","[""other""]",Jordan Hart - Body Language Video Shoot
null,Music,/explore/music,/projects/strahan-the-good-neighbors-an-american-band,2015-07-29T23:59:59-07:00,USD,4435,0.295666667,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/q0ebdtqmkt3vwlnmez2j.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-05-30T23:13:41-07:00,null,null,300,null,null,1268739,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,"Make your mama proud, quit your day job.","[""other""]",Strahan & The Good Neighbors:   An American Band
null,Music,/explore/music,/projects/napa-music-festival-baritone-on-call,2015-06-20T23:59:59-07:00,USD,285,0.095,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jebbquqyn4ig487gwpra.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-05-31T18:53:47-07:00,null,null,25,null,null,1290274,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,"Young Baritone from Rochester, NY looking to defer cost for travel/tuition to Napa Music Festival","[""other""]",Napa Music Festival- Baritone On Call
null,Music,/explore/music,/projects/cso-funds-4-community-stage-at-party-in-the-park,2015-07-16T23:59:59-07:00,CAD,260,0.52,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lrkluuqckbvxgy3vl6ou.jpg",FALSE,FALSE,FALSE,FALSE,null,2015-06-16T22:31:23-07:00,null,null,74,null,null,1311155,campaign,https://www.indiegogo.com/explore/all?project_timing=all&product_stage=all&sort=trending,"Support LIVE music, support the ARTS~","[""other""]",CSO funds 4 Community Stage at Party in the Park!
